Cu_Si_8_11_19

08.11.2019 11:56
Sekunden	Kelvin	Ohm	Ohm	Ohm
Zeit	Temperatur	R_Probe_1	R_Thermometer	R_Probe_2
1.470019E+2	5.964648E+1	1.429400E-1	5.394520E+0	3.679700E+3
1.480014E+2	6.014214E+1	1.497200E-1	5.391430E+0	4.564900E+3
1.490018E+2	6.043185E+1	1.552900E-1	5.389640E+0	3.819300E+3
1.500017E+2	6.047734E+1	1.603200E-1	5.389360E+0	3.619800E+3
1.510011E+2	6.033129E+1	1.645000E-1	5.390260E+0	3.560300E+3
1.520013E+2	5.995380E+1	1.676900E-1	5.392600E+0	3.557400E+3
1.530014E+2	5.953815E+1	1.701400E-1	5.395200E+0	3.582100E+3
1.540012E+2	5.886719E+1	1.718100E-1	5.399450E+0	3.625800E+3
1.550009E+2	5.820809E+1	1.724000E-1	5.403690E+0	3.689300E+3
6.650261E+2	5.960972E+1	1.749600E-1	1.249760E+1	3.450800E+3
6.660260E+2	6.019863E+1	1.772500E-1	1.275490E+1	3.393700E+3
6.670261E+2	6.064746E+1	1.791300E-1	1.295100E+1	3.391200E+3
6.680263E+2	6.126086E+1	1.810900E-1	1.321900E+1	3.315800E+3
6.690262E+2	6.187036E+1	1.835200E-1	1.348530E+1	3.212900E+3
6.700263E+2	6.235673E+1	1.859700E-1	1.369780E+1	3.128800E+3
6.710260E+2	6.277214E+1	1.889700E-1	1.387930E+1	3.025800E+3
6.720261E+2	6.316879E+1	1.921800E-1	1.405260E+1	2.959400E+3
6.730261E+2	6.352584E+1	1.953800E-1	1.420860E+1	2.934300E+3
6.740259E+2	6.398383E+1	1.991800E-1	1.440870E+1	2.871500E+3
6.750266E+2	6.454275E+1	2.025200E-1	1.465290E+1	2.815700E+3
6.760265E+2	6.503942E+1	2.063800E-1	1.486990E+1	2.780400E+3
6.770261E+2	6.550862E+1	2.104700E-1	1.507490E+1	2.711400E+3
6.780258E+2	6.604877E+1	2.145300E-1	1.531090E+1	2.651000E+3
6.790262E+2	6.660610E+1	2.187100E-1	1.555440E+1	2.598300E+3
6.800258E+2	6.714556E+1	2.229800E-1	1.579010E+1	2.553300E+3
6.810261E+2	6.776148E+1	2.246500E-1	1.605920E+1	2.532000E+3
6.820264E+2	6.831925E+1	2.258900E-1	1.630290E+1	2.467200E+3
6.830262E+2	6.889580E+1	2.280300E-1	1.655480E+1	2.351200E+3
6.840258E+2	6.938011E+1	2.326300E-1	1.676640E+1	2.328000E+3
6.850258E+2	6.961311E+1	2.369700E-1	1.686820E+1	2.290500E+3
6.860256E+2	6.997703E+1	2.414700E-1	1.702720E+1	2.263200E+3
6.870259E+2	7.034689E+1	2.456500E-1	1.718880E+1	2.305400E+3
6.880257E+2	7.079985E+1	2.498100E-1	1.738670E+1	2.207700E+3
6.890257E+2	7.125875E+1	2.542500E-1	1.758720E+1	2.130000E+3
6.900259E+2	7.170987E+1	2.585600E-1	1.778430E+1	2.089500E+3
6.910257E+2	7.220058E+1	2.632200E-1	1.799870E+1	1.874500E+3
6.920261E+2	7.268329E+1	2.677300E-1	1.820960E+1	2.007400E+3
6.930256E+2	7.320880E+1	2.719200E-1	1.843920E+1	2.049600E+3
6.940263E+2	7.363176E+1	2.757600E-1	1.862400E+1	2.054800E+3
6.950260E+2	7.413553E+1	2.808900E-1	1.884410E+1	2.054800E+3
6.960254E+2	7.465737E+1	2.841500E-1	1.907210E+1	2.008100E+3
6.970259E+2	7.515198E+1	2.893700E-1	1.928820E+1	1.962200E+3
6.980255E+2	7.554496E+1	2.937800E-1	1.945990E+1	1.919400E+3
6.990254E+2	7.589652E+1	2.974800E-1	1.961350E+1	1.877600E+3
7.000255E+2	7.626250E+1	3.015600E-1	1.977340E+1	1.858400E+3
7.010254E+2	7.668158E+1	3.058300E-1	1.995650E+1	1.832800E+3
7.020255E+2	7.713338E+1	3.098800E-1	2.015390E+1	1.819800E+3
7.030254E+2	7.760900E+1	3.142900E-1	2.036170E+1	1.807400E+3
7.040254E+2	7.809124E+1	3.185400E-1	2.057240E+1	1.789400E+3
7.050254E+2	7.858677E+1	3.227700E-1	2.078890E+1	1.779000E+3
7.060253E+2	7.908252E+1	3.273200E-1	2.100550E+1	1.759600E+3
7.070254E+2	7.959063E+1	3.315600E-1	2.122750E+1	1.738100E+3
7.080255E+2	8.008821E+1	3.358100E-1	2.144490E+1	1.724000E+3
7.090258E+2	8.058648E+1	3.400200E-1	2.166260E+1	1.693300E+3
7.100251E+2	8.108658E+1	3.443700E-1	2.188110E+1	1.685700E+3
7.110257E+2	8.157616E+1	3.488000E-1	2.209500E+1	1.671200E+3
7.120254E+2	8.204032E+1	3.532200E-1	2.229780E+1	1.651000E+3
7.130253E+2	8.251090E+1	3.576700E-1	2.250340E+1	1.650700E+3
7.140253E+2	8.297255E+1	3.619700E-1	2.270510E+1	1.620600E+3
7.150252E+2	8.344633E+1	3.666200E-1	2.291210E+1	1.608400E+3
7.160252E+2	8.389905E+1	3.708300E-1	2.310990E+1	1.587100E+3
7.170251E+2	8.434422E+1	3.751900E-1	2.330440E+1	1.583200E+3
7.180253E+2	8.479259E+1	3.795000E-1	2.350030E+1	1.572500E+3
7.190252E+2	8.523524E+1	3.836700E-1	2.369370E+1	1.558800E+3
7.200255E+2	8.568888E+1	3.877300E-1	2.389190E+1	1.555800E+3
7.210251E+2	8.611826E+1	3.919900E-1	2.407950E+1	1.527900E+3
7.220256E+2	8.653390E+1	3.966800E-1	2.426110E+1	1.507700E+3
7.230252E+2	8.694657E+1	4.007200E-1	2.444140E+1	1.505400E+3
7.240252E+2	8.734803E+1	4.050300E-1	2.461680E+1	1.513400E+3
7.250250E+2	8.775017E+1	4.091600E-1	2.479250E+1	1.474900E+3
7.260250E+2	8.814544E+1	4.134100E-1	2.496520E+1	1.469700E+3
7.270250E+2	8.852332E+1	4.171800E-1	2.513030E+1	1.453700E+3
7.280249E+2	8.888861E+1	4.212200E-1	2.528990E+1	1.452200E+3
7.290252E+2	8.927931E+1	4.251900E-1	2.546060E+1	1.454700E+3
